effective_date,signal_date,risk_on,leaders,turnover,transaction_cost,weights
2024-06-24,2024-06-21,True,"SMIN,SMH,AMLP,KCE,FDN",0.4,0.0002,"{'AMLP': 0.2, 'FDN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2}"
2024-07-01,2024-06-28,True,"SMIN,SMH,IXN,KCE,VUG",0.4,0.0002,"{'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'VUG': 0.2}"
2024-07-08,2024-07-05,True,"SMH,IXN,SMIN,KCE,VUG",0.0,0.0,"{'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'VUG': 0.2}"
2024-07-15,2024-07-12,True,"SMIN,IXN,SMH,VUG,XLK",0.2,0.0001,"{'IXN': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'VUG': 0.2, 'XLK': 0.2}"
2024-07-22,2024-07-19,True,"SMIN,IXN,SMH,XLK,TMFC",0.2,0.0001,"{'IXN': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'TMFC': 0.2, 'XLK': 0.2}"
2024-07-29,2024-07-26,True,"SMIN,IXN,SMH,XLK,TMFC",0.0,0.0,"{'IXN': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'TMFC': 0.2, 'XLK': 0.2}"
2024-08-05,2024-08-02,True,"SMIN,IXN,XLK,VUG,TMFC",0.2,0.0001,"{'IXN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'TMFC': 0.2, 'VUG': 0.2, 'XLK': 0.2}"
2024-08-12,2024-08-09,True,"IXN,XLK,SMIN,VUG,QQQM",0.2,0.0001,"{'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'VUG': 0.2, 'XLK': 0.2}"
2024-08-19,2024-08-16,True,"IXN,SMIN,SMH,XLK,KCE",0.4,0.0002,"{'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'XLK': 0.2}"
2024-08-26,2024-08-23,True,"SMIN,IXN,KCE,TMFC,SMH",0.2,0.0001,"{'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'TMFC': 0.2}"
